id,title,url,section,news_type,lead,date,source,scrape_time
1100836,仙台有樹結局劇情｜最新追劇日曆/播出時間+演員關係圖+角色簡介,https://www.hk01.com/即時娛樂/1100836/仙台有樹結局劇情-最新追劇日曆-播出時間-演員關係圖-角色簡介,即時娛樂,article,《仙台有樹》陸劇有劉芳作為編劇，尹濤為執導，由鄧為、向涵之領銜主演的一套以奇幻古裝為題材的電視劇。此劇為大熱劇《長風渡》的同一個團隊拍攝，,2025-02-23 16:29:43,hk01,2025-02-23 18:21
60211128,難哄劇情｜最新追劇日曆/播出時間+演員關係圖+角色簡介,https://www.hk01.com/即時娛樂/60211128/難哄劇情-最新追劇日曆-播出時間-演員關係圖-角色簡介,即時娛樂,article,《難哄》陸劇，有竹已作為編劇，瞿友甯為執導，由白敬亭、章若楠領銜主演的一套以現代愛情為題材的電視劇。這部劇是趙露思、陳哲遠的大熱愛情劇《偷,2025-02-23 16:14:40,hk01,2025-02-23 18:21
60213324,緬甸武裝組織突襲KK園區等詐騙中心　策劃詐騙疑犯據報已被拘留,https://www.hk01.com/即時國際/60213324/緬甸武裝組織突襲kk園區等詐騙中心-策劃詐騙疑犯據報已被拘留,即時國際,article,據據泰國傳媒《The Nation Thailand》2月22日報道，緬甸武裝組織突擊搜查泰緬邊境鎮妙瓦底（Myawaddy）的詐騙中心「KK園區」，釋放許多被迫從事網,2025-02-23 16:10:45,hk01,2025-02-23 18:21
60213320,特朗普：希望烏克蘭歸還美國提供援助資金,https://www.hk01.com/即時國際/60213320/特朗普-希望烏克蘭歸還美國提供援助資金,即時國際,article,美國總統特朗普（Donald Trump，又譯川普）周六（2月22日）說，他希望收回美國提供給烏克蘭用於俄烏戰爭的資金。法媒法新社報道，特朗普在保守派政,2025-02-23 16:03:00,hk01,2025-02-23 18:21
60213304,3.1起放寛電動車限制　准遙控泊車　電動的士巴士等准上快速公路,https://www.hk01.com/社會新聞/60213304/3-1起放寛電動車限制-准遙控泊車-電動的士巴士等准上快速公路,社會新聞,article,運輸署今（2月23日）提醒登記車主、駕駛人士和相關汽車業界，多項便利電動車新規定將於本周六（3月1日）生效，允許司機使用流動電話或其他電訊設備,2025-02-23 16:02:50,hk01,2025-02-23 18:21
1100826,深圳4大冰雪世界主題樂園　人均最低39.9元滑雪+玩雪｜地鐵直達,https://www.hk01.com/旅遊/1100826/深圳4大冰雪世界主題樂園-人均最低39-9元滑雪-玩雪-地鐵直達,好生活,article,不是哈爾濱去不起，而是深圳的冰雪世界主題樂園更有性價比！假期帶上家人朋友，開啟滑雪＋玩雪之旅，樂趣滿滿！深圳4大滑雪＋玩雪冰雪世界主題樂園,2025-02-23 16:02:04,hk01,2025-02-23 18:21
60213310,校園欺凌｜湛江智障男孩教室內遭4同學毆打、塞異物進嘴,https://www.hk01.com/大國小事/60213310/校園欺凌-湛江智障男孩教室內遭4同學毆打-塞異物進嘴,大國小事,article,內媒報道，2月20日，廣東湛江一名初一男孩遭4名同學欺凌的影片在網絡流傳。當地回應，事發後被打學生送醫檢查，警方也和學校對打人的4名男生採取了,2025-02-23 16:00:46,hk01,2025-02-23 18:21
60213314,「股神」巴菲特股東信罕談政治　寄語特朗普政府3大建議,https://www.hk01.com/即時國際/60213314/股神-巴菲特股東信罕談政治-寄語特朗普政府3大建議,即時國際,article,股神巴菲特（Warren Buffett）2月22日在旗下投資旗艦巴郡（Berkshire Hathaway）的年度股東信函中罕有談及政治，呼籲美國特朗普政府善用稅收、照顧,2025-02-23 16:00:27,hk01,2025-02-23 18:21
60212378,貓咪為何總愛對梳化下手？5大原因與對策必學　貓抓板是好東西,https://www.hk01.com/寵物/60212378/貓咪為何總愛對梳化下手-5大原因與對策必學-貓抓板是好東西,好生活,article,養貓的鏟屎官大概都有這樣的疑問吧：為什麼家裏的梳化總是逃不開貓咪的「魔爪」？！！自從貓咪成為家中一員後，梳化、地毯甚至櫃子都開始有了屬於自,2025-02-23 16:00:22,hk01,2025-02-23 18:21
60213256,安德魯加菲被爆戀上《搖滾詩人》女星　上月與狄美摩亞傳母子戀,https://www.hk01.com/電影/60213256/安德魯加菲被爆戀上-搖滾詩人-女星-上月與狄美摩亞傳母子戀,即時娛樂,article,現年41歲的「蜘蛛俠」安德魯加菲（Andrew Garfield）上月以頒獎嘉賓身份出席金球獎，因與應屆影后狄美摩亞舉止親密而傳出「母子戀」，不過雙方一直,2025-02-23 16:00:18,hk01,2025-02-23 18:21
60213297,2025深港馬拉松暨全運測試賽港將齊呼跨境比賽特別　氣氛不遜渣馬,https://www.hk01.com/跑步/60213297/2025深港馬拉松暨全運測試賽港將齊呼跨境比賽特別-氣氛不遜渣馬,即時體育,article,橫跨中港兩地的馬拉松賽事絕無僅有，繼連辦兩屆的港珠澳半馬，周日（23日）上演的2025深港馬拉松，作為第十五屆全國運動會跨境馬拉松測試賽，也是,2025-02-23 15:50:48,hk01,2025-02-23 18:21
60213313,王毅與埃及外長通話　重申反對強制遷移巴勒斯坦民眾,https://www.hk01.com/即時國際/60213313/王毅與埃及外長通話-重申反對強制遷移巴勒斯坦民眾,即時國際,article,中國外長王毅在2月22日南非出席二十國集團（G20）外長會議後，回國途中應約與埃及外長阿卜杜勒阿提（Badr Abdelatty）通話，重點討論就地區局勢。,2025-02-23 15:39:17,hk01,2025-02-23 18:21
60213298,國際巨星遊日逛街被打擾舉動溫柔暖心　自揭30年來不學講日文原因,https://www.hk01.com/即時娛樂/60213298/梁朝偉遊日逛街被打擾舉動溫柔暖心-自揭30年來不學講日文原因,即時娛樂,article,現年62歲的國際影帝梁朝偉曾透露他在工作空檔期都會在日本旅居，這習慣已維持逾30年，而且他通常是獨自在當地逗留，太太劉嘉玲只間中會前往相伴。,2025-02-23 15:30:49,hk01,2025-02-23 18:21
60212343,噁心！搭飛機遇極品乘客「伸腳趾到前座」　他一招反制讓網民讚好,https://www.hk01.com/熱爆話題/60212343/噁心-搭飛機遇極品乘客-伸腳趾到前座-他一招反制讓網民讚好,熱爆話題,article,搭飛機時附近乘客的行為是影響旅程的一大關鍵。近日就有名外國網紅坎姆（Cam Casey）分享自己遇到的無禮乘客，只見坐在他身後的乘客直接將腳伸直、,2025-02-23 15:30:39,hk01,2025-02-23 18:21
60213265,NVIDIA黃仁勳談DeepSeek稱｢開源令人興奮｣　首度剖析股價重挫原因,https://www.hk01.com/即時中國/60213265/nvidia黃仁勳談deepseek稱-開源令人興奮-首度剖析股價重挫原因,即時國際,article,內地AI初創公司「深度求索」（DeepSeek）的R1模型一經推出，震撼全球科技圈，一度致英偉達（Nvidia，又譯「輝達」）市值蒸發5900億美金。近日，英,2025-02-23 15:30:36,hk01,2025-02-23 18:21
60213302,「波霸餐廳」Hooters風光不再　美國多間分店結業　擬申請破產,https://www.hk01.com/即時國際/60213302/波霸餐廳-hooters風光不再-美國多間分店結業-擬申請破產,即時國際,article,由於客流量減少導致財務困境，以讓女服務員穿着緊身T裇為顧客提供雞翼和啤酒而聞名的「波霸餐廳」Hooters，可能面臨破產。根據彭博社（Bloomberg）,2025-02-23 15:24:27,hk01,2025-02-23 18:21
60213307,淘寶家具實體店續排長龍　入場需等一小時　大埔居民：唔買都要睇,https://www.hk01.com/社會新聞/60213307/淘寶家具實體店續排長龍-入場需等一小時-大埔居民-唔買都要睇,社會新聞,article,【淘寶實體店/淘寶家具實體店】淘寶香港首間家具實體店昨日（22日）正式於尖沙咀中港城開幕，來到第二日，依然人頭湧湧。今早開店前已吸引約100人,2025-02-23 15:22:08,hk01,2025-02-23 18:21
